"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_PLEITO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"NR_URNA_ESPERADA";"CD_CARGA_URNA_ESPERADA";"CD_FLASHCARD_URNA_ESPERADA";"DT_CARGA_URNA_ESPERADA";"ST_CORRESP_ALTERADA";"NR_LOCAL_VOTACAO";"NM_MAQUINA_GERACAO_MIDIA";"NR_SRI_TPM_GERACAO_MIDIA";"NR_SRI_INSTAL_GERACAO_MIDIA";"NM_MAQUINA_TRANSM_CORRESP";"NR_SRI_TPM_TRANSM_CORRESP";"NR_SRI_INSTAL_TRANSM_CORRESP"
"06/10/2024";"14:06:53";2024;452;"AL";"27073";"ATALAIA";6;20;2072927;39269176471855334439002;"972F88E5";"2024-09-25 08:51:00";"N";1082;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"28533";"RIO LARGO";15;16;2072517;564518297869857774636641;"5C68E460";"2024-09-27 11:16:00";"N";1295;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"28258";"PALMEIRA DOS ÍNDIOS";10;149;1775288;639870991779546371550131;"E405873D";"2024-09-24 10:16:00";"N";1090;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27758";"JOAQUIM GOMES";53;24;2432494;208188788075168296092009;"BD0D4E77";"2024-09-26 09:24:00";"N";1120;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27472";"DELMIRO GOUVEIA";40;7;1672753;404868171764419908109446;"5549A6F0";"2024-09-20 14:25:00";"N";1023;"RALWGERA18";"73D21F006D5E9BA7989A";"CDDF693C";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27618";"IGACI";45;72;1815969;596942309028695570271228;"7F7E378A";"2024-09-24 13:14:00";"N";1090;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"28878";"VIÇOSA";5;89;1767963;626117170572858853607670;"9FB2C982";"2024-09-25 10:28:00";"N";1228;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27219";"BRANQUINHA";9;3;2034044;504149831741791050493191;"AAABF232";"2024-09-26 11:26:00";"N";1180;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27472";"DELMIRO GOUVEIA";40;91;1673375;455373194348489494031450;"916332D4";"2024-09-20 14:34:00";"N";1082;"RALWGERA18";"73D21F006D5E9BA7989A";"CDDF693C";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27855";"MACEIÓ";33;207;2436170;4154951774881130199910;"589B8C47";"2024-09-30 08:48:00";"N";1198;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
